
---------- Begin Simulation Statistics ----------
simSeconds                                         30                       # Number of seconds simulated (Second)
simTicks                                 30000000000000                       # Number of ticks simulated (Tick)
finalTick                                30000000000000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  17827.35                       # Real time elapsed on the host (Second)
hostTickRate                               1682807455                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16971636                       # Number of bytes of host memory used (Byte)
simInsts                                   4729241886                       # Number of instructions simulated (Count)
simOps                                     4729242705                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   265280                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     265280                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                       968094102                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     3693160759                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 3800675                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    3462316046                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              25386499                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           663875911                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        381617430                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                136                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          968006305                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.576749                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.700789                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash                0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash2               0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash              0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash2             0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma2               0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma3               0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdPredAlu                 0      0.00%      9.73% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemRead             127057595     55.31%     65.04% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemWrite             51796520     22.55%     87.58% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemRead         15211270      6.62%     94.20% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemWrite        13315501      5.80%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IprAccess                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::InstPrefetch                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statIssuedInstType_0::No_OpClass      3800521      0.11%      0.11% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntAlu   1726900236     49.88%     49.99% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntMult     11401766      0.33%     50.32% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntDiv      1942425      0.06%     50.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatAdd            0      0.00%     50.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCmp     22800823      0.66%     51.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCvt     15206424      0.44%     51.47% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMult      3800448      0.11%     51.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMultAcc            0      0.00%     51.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatDiv            0      0.00%     51.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMisc      7600906      0.22%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatSqrt            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAdd            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAddAcc            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAlu            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCmp            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCvt            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMisc            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMult            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMultAcc            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShift            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShiftAcc            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdDiv            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSqrt            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAdd            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAlu            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCmp            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCvt            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatDiv            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMisc            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMult            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAdd            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAlu            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceCmp            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAes            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAesMix            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma2            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma3            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdPredAlu            0      0.00%     51.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemRead   1144135206     33.05%     84.84% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemWrite    471494221     13.62%     98.46% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemRead     36121645      1.04%     99.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemWrite     17111425      0.49%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::total    3462316046                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        3.576425                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                          229735184                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.066353                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads              7913945110                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites             4256282860                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses     3294250959                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                233814970                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites               104607717                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses       102635130                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                 3557082267                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                   131168442                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numInsts                       3419642931                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                   1146877811                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                 35074999                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu0.numRefs                        1629588487                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                     516993952                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                   482710676                       # Number of stores executed (Count)
system.cpu0.numRate                          3.532346                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                           1976                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                          87797                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.quiesceCycles                          88                       # Total number of cycles that CPU has spent quiesced or waiting for an interrupt (Cycle)
system.cpu0.committedInsts                 3033085516                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                   3033085523                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              0.319178                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         0.319178                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              3.133048                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         3.133048                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads                3602124160                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites               2423299669                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                   89316223                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                  58926929                       # Number of floating regfile writes (Count)
system.cpu0.miscRegfileReads                140629488                       # number of misc regfile reads (Count)
system.cpu0.miscRegfileWrites                95011284                       # number of misc regfile writes (Count)
system.cpu0.MemDepUnit__0.insertedLoads    1250531835                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores    510275229                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads     59627846                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores     27866463                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups              657825819                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted        446669857                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect         11450742                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups           269083412                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBUpdates             7622832                       # Number of BTB updates (Count)
system.cpu0.branchPred.BTBHits              236499191                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.878907                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed               78074809                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect               108                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups       72046246                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits          53041027                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses        19005219                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted      3806062                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts      663876519                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls        3800539                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts         11443046                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples    879316793                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     3.449366                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     3.375635                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0      250898081     28.53%     28.53% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1      162753282     18.51%     47.04% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2       57162442      6.50%     53.54% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3       56198898      6.39%     59.93% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4       29131831      3.31%     63.25% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5       19118850      2.17%     65.42% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6       19168953      2.18%     67.60% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7       18800277      2.14%     69.74% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8      266084179     30.26%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total    879316793                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted          3033085516                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted            3033085523                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                 1490161514                       # Number of memory references committed (Count)
system.cpu0.commit.loads                   1059904453                       # Number of loads committed (Count)
system.cpu0.commit.amos                            20                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                         14                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                 466474499                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                 100715985                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                 3002653633                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls             60889436                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass      3800462      0.13%      0.13% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu   1478273970     48.74%     48.86% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult     11401560      0.38%     49.24% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv      1942375      0.06%     49.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd            0      0.00%     49.30% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp     20902480      0.69%     49.99% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt     15201810      0.50%     50.49% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult      3800448      0.13%     50.62% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMultAcc            0      0.00%     50.62% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatDiv            0      0.00%     50.62% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMisc      7600904      0.25%     50.87% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatSqrt            0      0.00%     50.87% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAdd            0      0.00%     50.87% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAddAcc            0      0.00%     50.87% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAlu            0      0.00%     50.87% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCmp            0      0.00%     50.87% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCvt            0      0.00%     50.87% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMisc            0      0.00%     50.87% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMult            0      0.00%     50.87% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMultAcc            0      0.00%     50.87% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShift            0      0.00%     50.87% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShiftAcc            0      0.00%     50.87% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdDiv            0      0.00%     50.87% # Class of committed instruction (Count)
