
---------- Begin Simulation Statistics ----------
simSeconds                                   7.500691                       # Number of seconds simulated (Second)
simTicks                                 7500690643000                       # Number of ticks simulated (Tick)
finalTick                                7500690643000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 248929.38                       # Real time elapsed on the host (Second)
hostTickRate                                 30131802                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16954872                       # Number of bytes of host memory used (Byte)
simInsts                                  21755382032                       # Number of instructions simulated (Count)
simOps                                    21755411970                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    87396                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      87396                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                      7500690654                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                    10928614954                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  272598                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                   11410978197                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               2278502                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            52628935                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         40647131                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               4797                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         7496705942                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.522132                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.969890                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash                0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash2               0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash              0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash2             0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma2               0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma3               0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdPredAlu                 0      0.00%     87.87% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemRead              23631714      2.99%     90.86% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemWrite              3981684      0.50%     91.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemRead         67572731      8.54%     99.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemWrite          820170      0.10%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IprAccess                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::InstPrefetch                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statIssuedInstType_0::No_OpClass       237336      0.00%      0.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntAlu   4022337955     35.25%     35.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntMult      2266133      0.02%     35.27% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntDiv         6202      0.00%     35.27% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatAdd    933458699      8.18%     43.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCmp    126336297      1.11%     44.56% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCvt    325468704      2.85%     47.41% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMult    833371460      7.30%     54.71% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMultAcc    909609294      7.97%     62.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatDiv     89029392      0.78%     63.47% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMisc     92210484      0.81%     64.27% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatSqrt      9755925      0.09%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAdd            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAddAcc            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAlu            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCmp            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCvt            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMisc            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMult            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMultAcc            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShift            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShiftAcc            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdDiv            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSqrt            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAdd            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAlu            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCmp            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCvt            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatDiv            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMisc            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMult            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAdd            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAlu            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceCmp            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAes            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAesMix            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma2            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma3            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdPredAlu            0      0.00%     64.36% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemRead    552043674      4.84%     69.20% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemWrite    158112512      1.39%     70.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemRead   2783429616     24.39%     94.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemWrite    573304514      5.02%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::total   11410978197                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        1.521324                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                          791431680                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.069357                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads             17002244089                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites             4754109720                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses     4707506903                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads              14110128426                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites              6227500936                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses      6190545963                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                 4769483978                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                  7432688563                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numInsts                      10908545073                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                   2837517705                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                  8366205                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu0.numRefs                        3568517861                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                     546113531                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                   731000156                       # Number of stores executed (Count)
system.cpu0.numRate                          1.454339                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                         103148                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                        3984712                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.committedInsts                10876243540                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                  10876258509                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              0.689640                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         0.689640                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              1.450032                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         1.450032                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads               10242953983                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites               4186721572                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                 7591836425                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                5460022857                       # Number of floating regfile writes (Count)
system.cpu0.miscRegfileReads              12263185916                       # number of misc regfile reads (Count)
system.cpu0.miscRegfileWrites              6636659068                       # number of misc regfile writes (Count)
system.cpu0.MemDepUnit__0.insertedLoads    2840362525                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores    733732163                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads    182097207                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores    138481569                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups              560177716                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted        486806456                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect          4030872                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups           435880743                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBUpdates              538747                       # Number of BTB updates (Count)
system.cpu0.branchPred.BTBHits              435632613                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.999431                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed               23156136                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect              3445                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups         538929                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits            479389                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses           59540                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted        19651                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts       52001421                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls         267801                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts          3952626                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples   7488073126                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     1.452478                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     2.647040                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0     5102339350     68.14%     68.14% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1      504720874      6.74%     74.88% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2      270836443      3.62%     78.50% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3      306562293      4.09%     82.59% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4      188603520      2.52%     85.11% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5      130923738      1.75%     86.86% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6      109464988      1.46%     88.32% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7      152620188      2.04%     90.36% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8      722001732      9.64%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total   7488073126                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted         10876243540                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted           10876258509                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                 3552764307                       # Number of memory references committed (Count)
system.cpu0.commit.loads                   2824877821                       # Number of loads committed (Count)
system.cpu0.commit.amos                         16072                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                      29385                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                 543927032                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                6188409982                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                 7883803420                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls             22915651                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass       236875      0.00%      0.00% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu   4002709244     36.80%     36.80% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult      2212590      0.02%     36.82% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv         5959      0.00%     36.82% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd    933042064      8.58%     45.40% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp    126279077      1.16%     46.56% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt    325429205      2.99%     49.56% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult    833298589      7.66%     57.22% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMultAcc    909483638      8.36%     65.58% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatDiv     89017902      0.82%     66.40% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMisc     92023183      0.85%     67.24% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatSqrt      9755876      0.09%     67.33% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAdd            0      0.00%     67.33% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAddAcc            0      0.00%     67.33% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAlu            0      0.00%     67.33% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCmp            0      0.00%     67.33% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCvt            0      0.00%     67.33% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMisc            0      0.00%     67.33% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMult            0      0.00%     67.33% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMultAcc            0      0.00%     67.33% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShift            0      0.00%     67.33% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShiftAcc            0      0.00%     67.33% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdDiv            0      0.00%     67.33% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSqrt            0      0.00%     67.33% # Class of committed instruction (Count)
