
---------- Begin Simulation Statistics ----------
simSeconds                                  10.193699                       # Number of seconds simulated (Second)
simTicks                                 10193698536000                       # Number of ticks simulated (Tick)
finalTick                                10193698536000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 248929.51                       # Real time elapsed on the host (Second)
hostTickRate                                 40950141                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16926012                       # Number of bytes of host memory used (Byte)
simInsts                                  69073642920                       # Number of instructions simulated (Count)
simOps                                    69073642936                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   277483                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     277483                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu0.numCycles                     10193698570                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                    43054790392                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   11141                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                   40079274818                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued             154265706                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined          8518110769                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       5334912117                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              11059                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples        10193576389                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.931817                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.778600                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash                0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash2               0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash              0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash2             0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma2               0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma3               0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdPredAlu                 0      0.00%     38.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemRead             666145092     49.39%     87.46% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemWrite            169124077     12.54%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemRead              111      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemWrite               8      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IprAccess                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::InstPrefetch                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statIssuedInstType_0::No_OpClass           64      0.00%      0.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntAlu  25985844639     64.84%     64.84% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntMult    297420459      0.74%     65.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntDiv     17591333      0.04%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatAdd          207      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCmp            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCvt          276      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMult            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMultAcc            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatDiv            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMisc            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatSqrt            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAdd            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAddAcc            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAlu            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCmp            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCvt            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMisc            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMult            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMultAcc            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShift            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShiftAcc            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdDiv            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSqrt            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAdd            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAlu            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCmp            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCvt            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatDiv            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMisc            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMult            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAdd            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAlu            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceCmp            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAes            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAesMix            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma2            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma3            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdPredAlu            0      0.00%     65.62% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemRead   8866351555     22.12%     87.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemWrite   4912065529     12.26%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemRead          536      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemWrite          220      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::total   40079274818                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        3.931770                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                         1348632980                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.033649                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads             91855022097                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites            51576928159                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses    38793182136                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                     2609                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites                    1612                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses            1138                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                41427906372                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                        1362                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numInsts                      39259439280                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                   8565089525                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                819719241                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu0.numRefs                       13359915124                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                    5901222063                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                  4794825599                       # Number of stores executed (Count)
system.cpu0.numRate                          3.851344                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                          35245                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                         122181                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.committedInsts                34536690687                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                  34536690695                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              0.295156                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         0.295156                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              3.388043                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         3.388043                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads               48572495997                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites              28401562192                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                        889                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                       709                       # Number of floating regfile writes (Count)
system.cpu0.miscRegfileReads                     2155                       # number of misc regfile reads (Count)
system.cpu0.miscRegfileWrites                     828                       # number of misc regfile writes (Count)
system.cpu0.MemDepUnit__0.insertedLoads    9375948740                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores   5461518080                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads   1412074022                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores    805499729                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups             7632442831                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted       7125233675                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect        285243620                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups          3839763807                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBUpdates           157458190                       # Number of BTB updates (Count)
system.cpu0.branchPred.BTBHits             3827529198                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.996814                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed               17713403                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect               156                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups          35961                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits              6358                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses           29603                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted          360                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts     8518145098                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls             82                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts        280039108                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples   8975588941                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     3.847847                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     3.278060                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0     2046373379     22.80%     22.80% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1     1180364813     13.15%     35.95% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2     1027766887     11.45%     47.40% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3      613010124      6.83%     54.23% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4      344179995      3.83%     58.07% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5      276899685      3.09%     61.15% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6      433152506      4.83%     65.98% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7      329104121      3.67%     69.64% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8     2724737431     30.36%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total   8975588941                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted         34536690687                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted           34536690695                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                12096954989                       # Number of memory references committed (Count)
system.cpu0.commit.loads                   7401409080                       # Number of loads committed (Count)
system.cpu0.commit.amos                            10                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                         16                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                5063450496                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                      1022                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                34206603605                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls             11999039                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass           16      0.00%      0.00% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu  22169659751     64.19%     64.19% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult    254022989      0.74%     64.93% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv     16052536      0.05%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd          207      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt          207      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMultAcc            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatDiv            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMisc            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatSqrt            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAdd            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAddAcc            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAlu            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCmp            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCvt            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMisc            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMult            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMultAcc            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShift            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShiftAcc            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdDiv            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSqrt            0      0.00%     64.97% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAdd            0      0.00%     64.97% # Class of committed instruction (Count)
